Dimension,Scaled Value (Inches)
Height,72.0
Torso Height,26.50766155781221
Torso Width,25.566582308807245
Torso Depth,23.68945508687991
Upper Arm Length,14.955135691913906
Upper Arm Width,32.712093115196716
Upper Arm Depth,12.930511607130823
Lower Arm Length,12.451884812329292
Lower Arm Width,36.75508459935123
Lower Arm Depth,11.466681607109182
Upper Leg Length,16.70005456434024
Upper Leg Width,14.330037523229784
Upper Leg Depth,46.0523975628989
Lower Leg Length,13.944101703533855
Lower Leg Width,14.501457059522728
Lower Leg Depth,52.933399357474386
